link,title,city,price,nb_rooms,nb_baths,type,address,liv_rooms,surface_area,prop_age,floor_nb,Ascenseur,Balcon,Chauffage,Climatisation,Concierge,Cuisine equipee,Duplex,Meuble,Parking,Securite,Terrasse,Date
https://www.avito.ma/fr/mimosas/appartements/Appartement_%C3%A0_vendre_150_m%C2%B2_%C3%A0_K%C3%A9nitra_55577890.htm,Appartement Ã  vendre 150 mÂ² Ã  KÃ©nitra,kenitra,1160000.0,3,2,Vendre,mimosas,1.0,150.0,3.0,2,True,True,False,True,True,False,False,False,True,False,True,2024-08-28
https://www.avito.ma/fr/ain_sebaa/appartements/Appartement_%C3%A0_vendre_58_m%C2%B2_%C3%A0_Casablanca_55577714.htm,Appartement Ã  vendre 58 mÂ² Ã  Casablanca,casablanca,490000.0,2,1,Vendre,ain sebaa,2.0,2.0,2.0,1,False,True,False,False,False,False,False,False,False,False,False,2024-09-02
https://www.avito.ma/fr/abbadi/appartements/appartement_a_vendre__55577352.htm,appartement a vendre,temara,690000.0,2,2,Vendre,abbadi,1.0,80.0,2.0,0,True,False,False,False,False,False,False,False,True,False,True,2024-07-19
https://www.avito.ma/fr/sbata/appartements/Appartement_%C3%A0_vendre_71_m%C2%B2_%C3%A0_Casablanca_55434940.htm,Appartement Ã  vendre 71 mÂ² Ã  Casablanca,casablanca,450000.0,2,2,Vendre,sbata,2.0,2.0,2.0,4,False,False,False,False,False,False,False,False,False,False,False,2024-08-10
https://www.avito.ma/fr/autre_secteur/appartements/Appartement_a_vendre__%D8%B4%D9%82%D8%A9_%D9%84%D9%84%D8%A8%D9%8A%D8%B9_55576800.htm,Appartement a vendre ??? ?????,marrakech,850000.0,3,2,Vendre,autre secteur,2.0,100.0,3.0,0,False,False,True,True,False,False,False,False,True,False,True,2024-03-19
https://www.avito.ma/fr/socoma/appartements/APPARTEMENT_A_VENDRE__55576678.htm,APPARTEMENT A VENDRE,marrakech,350000.0,2,2,Vendre,socoma,1.0,73.0,2.0,2,False,False,False,False,False,False,False,False,False,False,False,2024-06-28
https://www.avito.ma/fr/es_saada/appartements/appartement_a_vendre_acot_marjan__55576574.htm,appartement a vendre acot marjan,marrakech,420000.0,2,1,Vendre,es saada,1.0,58.0,2.0,0,True,False,False,False,True,False,False,False,True,False,True,2024-04-03
https://www.avito.ma/fr/sidi_moumen/appartements/Appartement_%C3%A0_vendre_69_m%C2%B2_%C3%A0_Casablanca_55576565.htm,Appartement Ã  vendre 69 mÂ² Ã  Casablanca,casablanca,550000.0,2,1,Vendre,sidi moumen,2.0,2.0,2.0,4,False,True,False,False,False,False,False,False,False,False,True,2024-12-15
https://www.avito.ma/fr/autre_secteur/appartements/Appartement_%C3%A0_vendre_86_m%C2%B2_%C3%A0_Mohammedia_55576479.htm,Appartement Ã  vendre 86 mÂ² Ã  Mohammedia,mohammedia,879999.0,2,1,Vendre,autre secteur,1.0,86.0,2.0,1,False,False,False,False,False,False,False,False,False,False,False,2024-03-22
https://www.avito.ma/fr/m%C3%A8dina/appartements/Appartement_%C3%A0_vendre_120_m%C2%B2_%C3%A0_Mekn%C3%A8s_55576390.htm,Appartement Ã  vendre 120 mÂ² Ã  MeknÃ¨s,meknes,1116607.6381161,2,1,Vendre,mÃ¨dina,2.0,2.0,2.0,2,False,False,False,False,False,False,False,False,False,False,False,2024-06-05
https://www.avito.ma/fr/oulfa/appartements/Appartement_%C3%A0_vendre_56_m%C2%B2_%C3%A0_Casablanca_55576361.htm,Appartement Ã  vendre 56 mÂ² Ã  Casablanca,casablanca,340000.0,2,1,Vendre,oulfa,2.0,2.0,2.0,4,False,False,False,False,False,False,False,False,False,False,False,2024-12-04
https://www.avito.ma/fr/imouzzer/appartements/Appartement_106M_Immouzer__55576189.htm,Appartement 106M Immouzer,imouzzer,650000.0,3,1,Vendre,toute la ville,1.0,3.0,8.0,2,False,False,False,False,False,False,False,False,False,False,False,2024-04-07
https://www.avito.ma/fr/deroua/appartements/Appartement_a_vendre_55575845.htm,Appartement a vendre,deroua,580000.0,3,2,Vendre,toute la ville,1.0,96.0,3.0,2,False,False,False,False,False,False,False,False,False,False,False,2024-09-21
https://www.avito.ma/fr/sidi_maarouf/appartements/Appartement_%C3%A0_vendre_78_m%C2%B2_%C3%A0_Casablanca_54862237.htm,Appartement Ã  vendre 78 mÂ² Ã  Casablanca,casablanca,720000.0,2,2,Vendre,sidi maarouf,2.0,2.0,2.0,3,False,False,False,False,False,False,False,False,False,False,False,2024-12-11
https://www.avito.ma/fr/oued_f%C3%A8s/appartements/appartement_a_vendre__55575611.htm,appartement a vendre,fes,806683.1751550359,2,2,Vendre,oued fÃ¨s,2.0,76.0,2.0,1,False,False,False,False,False,False,False,False,False,False,False,2024-02-23
https://www.avito.ma/fr/azzouzia/appartements/Appartement_%C3%A0_vendre_67_m%C2%B2_%C3%A0_Marrakech_55575580.htm,Appartement Ã  vendre 67 mÂ² Ã  Marrakech,marrakech,1142718.109646014,2,2,Vendre,azzouzia,1.0,67.0,2.0,2,False,False,False,False,False,False,False,False,False,False,False,2024-10-21
https://www.avito.ma/fr/plage_oued_cherrat/appartements/appartement_a_vendre__55575064.htm,appartement a vendre,bouznika,250000.0,2,1,Vendre,plage oued cherrat,1.0,49.0,2.0,3,False,True,False,False,False,False,False,False,False,False,False,2024-03-29
https://www.avito.ma/fr/saidia/appartements/Appartement_%C3%A0_vendre_votre_port_seule_38888707.htm,Appartement Ã  vendre votre port seule,saidia,608936.4967650849,2,1,Vendre,toute la ville,1.0,95.0,2.0,1,False,False,False,False,False,False,False,False,False,False,False,2024-09-22
https://www.avito.ma/fr/autre_secteur/appartements/Appartement_%C3%A0_vendre_90_m%C2%B2_%C3%A0_El_Menzeh_55574712.htm,Appartement Ã  vendre 90 mÂ² Ã  El Menzeh,rabat,1200000.0,3,2,Vendre,autre secteur,3.0,3.0,3.0,3,False,False,False,False,False,False,False,False,False,False,False,2024-09-10
https://www.avito.ma/fr/had_soualem/appartements/appartement_a_vendre__55574506.htm,appartement a vendre,had soualem,480000.0,2,1,Vendre,toute la ville,1.0,95.0,0.0,0,False,True,False,False,False,False,False,False,False,False,True,2024-09-30
https://www.avito.ma/fr/a%C3%AFn_borja/appartements/Appartement_%C3%A0_vendre_77_m%C2%B2_%C3%A0_Casablanca_55574340.htm,Appartement Ã  vendre 77 mÂ² Ã  Casablanca,casablanca,70.0,3,2,Vendre,aÃ¯n borja,3.0,3.0,3.0,2,True,True,False,True,True,False,False,False,False,False,False,2024-02-05
https://www.avito.ma/fr/quartier_a%C3%A9rodrome/appartements/appartement_rez_de_chauss%C3%A9e_a_vendre__55573842.htm,appartement rez de chaussÃ©e a vendre,el jadida,1228823.9224726097,3,2,Vendre,quartier aÃ©rodrome,1.0,84.0,3.0,0,False,False,False,False,False,False,False,False,False,False,False,2024-03-02
https://www.avito.ma/fr/tamesna/appartements/appartement_a_vendre_tamesna__55573786.htm,appartement a vendre tamesna,tamesna,1449750.4803857494,3,2,Vendre,toute la ville,1.0,3.0,3.0,1,False,False,False,False,False,False,False,False,False,False,False,2024-01-11
https://www.avito.ma/fr/wifak/appartements/Appartement_%C3%A0_vendre_127_m%C2%B2_%C3%A0_Temara_55573729.htm,Appartement Ã  vendre 127 mÂ² Ã  Temara,temara,1600000.0,3,2,Vendre,wifak,1.0,127.0,3.0,0,True,True,False,True,True,False,False,False,True,False,True,2024-08-25
https://www.avito.ma/fr/ta%C3%AFbia/appartements/Appartement_a_taibia_55573656.htm,Appartement a taibia,kenitra,680000.0,2,1,Vendre,taÃ¯bia,1.0,110.0,2.0,1,False,False,False,False,False,False,False,False,False,False,False,2024-11-09
https://www.avito.ma/fr/fquih_ben_saleh/appartements/Appartement_a_fquih_ben_saleh_55573122.htm,Appartement a fquih ben saleh,fquih ben saleh,450000.0,3,1,Vendre,toute la ville,1.0,3.0,25.0,1,False,False,False,False,False,False,False,False,False,False,False,2024-05-02
https://www.avito.ma/fr/mesnana/appartements/apartment_a_vendre__55572207.htm,apartment a vendre,tanger,1070000.0,3,2,Vendre,mesnana,3.0,3.0,3.0,8,True,False,False,False,True,False,False,False,True,False,True,2024-06-08
https://www.avito.ma/fr/founty/appartements/Appartement_%C3%A0_vendre_%C3%A0_Agadir_bay_founty__55572173.htm,Appartement Ã  vendre Ã  Agadir bay founty,agadir,1800000.0,2,2,Vendre,founty,1.0,80.0,2.0,2,True,True,False,True,True,False,False,False,True,False,True,2024-06-27
https://www.avito.ma/fr/autre_secteur/appartements/Appartement_%C3%A0_vendre_NMI211_55572143.htm,Appartement Ã  vendre NMI211,tanger,550000.0,2,1,Vendre,autre secteur,2.0,2.0,2.0,5,False,False,False,False,False,False,False,False,False,False,False,2024-04-23
https://www.avito.ma/fr/b%C3%A9ni_mellal/appartements/Appartement_%C3%A0_vendre_144_m%C2%B2_%C3%A0_B%C3%A9ni_Mellal_55571754.htm,Appartement Ã  vendre 144 mÂ² Ã  BÃ©ni Mellal,beni mellal,413531.49667192,2,1,Vendre,toute la ville,1.0,144.0,0.0,1,False,False,False,False,False,False,False,False,False,False,False,2024-09-05
https://www.avito.ma/fr/a%C3%AFn_chock/appartements/appartement_neufe_a_vendre_omarya_55571547.htm,appartement neufe a vendre omarya,casablanca,11000.0,2,2,Vendre,aÃ¯n chock,2.0,2.0,2.0,1,False,False,False,False,False,False,False,False,False,False,False,2024-02-14
https://www.avito.ma/fr/hay_nahda/appartements/Appartement_%C3%A0_vendre_100_m%C2%B2_%C3%A0_Rabat_55571506.htm,Appartement Ã  vendre 100 mÂ² Ã  Rabat,rabat,5500.0,2,2,Vendre,hay nahda,2.0,2.0,2.0,1,False,False,False,False,False,False,False,False,False,False,False,2024-03-11
https://www.avito.ma/fr/najd/appartements/Appartement_a_vendre__55571482.htm,Appartement a vendre,el jadida,799090.4116164525,2,2,Vendre,najd,1.0,82.0,2.0,2,False,False,False,False,False,False,False,False,False,False,False,2024-05-14
https://www.avito.ma/fr/autre_secteur/appartements/appartement_a_vendre__55571443.htm,appartement a vendre,kenitra,580000.0,2,1,Vendre,autre secteur,1.0,69.0,2.0,3,True,True,False,True,False,False,False,False,False,False,False,2024-11-13
https://www.avito.ma/vi/55723042.htm,Appartement Ã  vendre roches noires Ã  Casablanca,casablanca,1044000.0,3,2,Vendre,roches noires,3.0,3.0,3.0,2,True,True,False,True,True,False,False,False,True,False,True,2024-02-14
https://www.avito.ma/vi/55630439.htm,Appartement Ã  vendre 120 mÂ² Ã  Agadir,agadir,1200000.0,2,2,Vendre,amicales,1.0,120.0,2.0,4,True,True,False,False,True,False,False,False,True,False,True,2024-03-28
https://www.avito.ma/fr/khouribga/appartements/APPARTEMENT_70m_centre_ville_khouribga_55571399.htm,APPARTEMENT 70m centre ville khouribga,khouribga,712186.0678813228,2,2,Vendre,toute la ville,1.0,70.0,2.0,1,False,False,False,False,False,False,False,False,False,False,False,2024-08-23
https://www.avito.ma/fr/autre_secteur/appartements/Appartement_%C3%A0_vendre_65_m%C2%B2_%C3%A0_Rabat_55571289.htm,Appartement Ã  vendre 65 mÂ² Ã  Rabat,rabat,1410096.0137202982,2,2,Vendre,autre secteur,2.0,2.0,2.0,2,False,False,False,False,False,False,False,False,False,False,False,2024-09-12
https://www.avito.ma/fr/mediouna/appartements/appartement__55571184.htm,appartement,mediouna,724149.6393155982,2,2,Vendre,toute la ville,1.0,67.0,8.0,2,False,False,False,False,False,False,False,False,False,False,False,2024-05-11
https://www.avito.ma/fr/quartier_du_parc/appartements/jolie_appartement_a_vendre_a_Quartier_Park_55182217.htm,jolie appartement a vendre a Quartier Park,mohammedia,540964.1177460641,2,2,Vendre,quartier du parc,2.0,137.0,2.0,3,False,False,False,False,False,False,False,False,False,False,False,2024-03-17
https://www.avito.ma/fr/gauthier/appartements/Appartement_%C3%A0_vendre_177_m%C2%B2_%C3%A0_Gauthier_55569728.htm,Appartement Ã  vendre 177 mÂ² Ã  Gauthier,casablanca,2900000.0,3,2,Vendre,gauthier,3.0,3.0,3.0,7,True,True,True,False,True,False,False,False,True,False,True,2024-02-22
https://www.avito.ma/fr/nouaceur/appartements/appartement_perle_nouaceur_55569497.htm,appartement perle nouaceur,nouaceur,1078879.7659232118,3,2,Vendre,toute la ville,1.0,96.0,3.0,1,False,False,False,False,False,False,False,False,False,False,False,2024-04-16
https://www.avito.ma/fr/errahma/appartements/jolie_appartement_%C3%A0_vendre_a_Errahma__55569243.htm,jolie appartement Ã  vendre a Errahma,casablanca,780000.0,2,1,Vendre,errahma,2.0,2.0,2.0,2,False,False,False,False,False,False,False,False,False,False,False,2024-03-10
https://www.avito.ma/fr/berrechid/appartements/Appartement_%C3%A0_vendre_65_m%C2%B2_%C3%A0_Berrechid_55569209.htm,Appartement Ã  vendre 65 mÂ² Ã  Berrechid,berrechid,450000.0,2,65,Vendre,toute la ville,1.0,2.0,8.0,1,False,False,False,False,False,False,False,False,False,False,False,2024-11-09
https://www.avito.ma/fr/quartier_a%C3%A9rodrome/appartements/appartement_a_vendre__55569197.htm,appartement a vendre,el jadida,1117881.0589171867,2,65,Vendre,quartier aÃ©rodrome,1.0,50.0,2.0,4,False,False,False,False,False,False,False,False,False,False,False,2024-02-25
https://www.avito.ma/fr/sidi_othmane/appartements/Appartement_%C3%A0_vendre_74_m%C2%B2_%C3%A0_deroua_55568914.htm,Appartement Ã  vendre 74 mÂ² Ã  deroua,casablanca,580000.0,2,1,Vendre,sidi othmane,2.0,2.0,2.0,1,False,True,False,False,False,False,False,False,True,False,False,2024-10-20
https://www.avito.ma/fr/ben_souda/appartements/Appartement_%C3%A0_vendre_76_m%C2%B2_%C3%A0_F%C3%A8s_55568280.htm,Appartement Ã  vendre 76 mÂ² Ã  FÃ¨s,fes,350000.0,2,1,Vendre,ben souda,2.0,76.0,2.0,3,False,False,False,False,False,False,False,False,False,False,False,2024-08-16
